ID,Ns.SNP,Xs.SNP,prop.SNP,Ns.WGS,Xs.WGS,prop.WGS
K0323702_1611,0,0,0,39,180,0.00142351352337847
K0323703_1701,0,40,0,NA,NA,NA
K0323703_1704,13,40,0.26530612244898,NA,NA,NA
K0323719_1511,0,39,0,NA,NA,NA
K0323725_1511,0,17,0,NA,NA,NA
K0323730_1511,4,23,0.0606060606060606,NA,NA,NA
K0344032_1512,0,0,0,352,304,0.0129065376012907
K0344102_1511,0,34,0,NA,NA,NA
K0344111_1511,0,14,0,NA,NA,NA
K0364309_1511,0,31,0,114,19351,0.0138584974471189
K0364311_1511,0,1,0,16,1219,0.000607026329767054
K0364312_1511,0,25,0,NA,NA,NA
K0364312_1607,3,2,0.0344827586206897,253,536,0.00935616286379942
K0364312_1612,0,38,0,NA,NA,NA
K0364314_1612,0,42,0,NA,NA,NA
K0364314_1701,0,1,0,60,282,0.00219820479941381
K0364319_1511,0,0,0,28,501,0.00103412616339193
K0364319_1612,0,0,0,101,404,0.00371692488867626
K0364324_1612,3,40,0.0612244897959184,NA,NA,NA
K0364324_1701,1,17,0.0138888888888889,364,11781,0.0230438085591289
K0364329_1511,0,8,0,NA,NA,NA
K0374406_1612,0,10,0,4,4456,0.000173002897798538
K0374406_1701,0,29,0,156,13445,0.0110387772431361
K0374406_1702,14,35,0.259259259259259,NA,NA,NA
K0374406_1705,5,32,0.087719298245614,NA,NA,NA
K0374408_1412,16,0,0.179775280898876,2710,526,0.100181139329415
K0374413_1611,34,1,0.386363636363636,3863,130,0.140743979305571
K0374502_1412,0,2,0,6,1179,0.000227289946208046
K0374502_1612,1,15,0.0135135135135135,124,6854,0.00598368962022873
K0374502_1705,4,30,0.0677966101694915,NA,NA,NA
K0384601_1701,0,34,0,NA,NA,NA
K0384601_1702,0,36,0,42,20897,0.0062874251497006
K0384602_1512,0,8,0,90,10217,0.00518433179723502
K0384604_1511,0,20,0,13,18325,0.00140510159965413
K0384611_1612,2,36,0.0377358490566038,NA,NA,NA
K0384611_1701,0,43,0,NA,NA,NA
K0384611_1702,0,4,0,15,1370,0.00057236616171252
K0394906_1611,0,0,0,28,74,0.00101807075591754
K0394917_1611,0,44,0,NA,NA,NA
K0394923_1610,0,33,0,NA,NA,NA
K0394934_1610,0,32,0,NA,NA,NA
K0394938_1611,0,0,0,32,150,0.00116673351077405
K0405016_1611,0,1,0,282,51,0.0102448594056528
K0415108_1701,0,19,0,227,12662,0.0152195776064365
K0415108_1702,2,33,0.0357142857142857,142,16509,0.0128297795446332
K0415109_1603,12,11,0.153846153846154,NA,NA,NA
K0425208_1512,0,1,0,49,203,0.00179001972674801
K0425208_1605,21,11,0.269230769230769,NA,NA,NA
K0425216_1511,0,43,0,70,20698,0.0101758976595435
N0050505_1610,0,33,0,78,18676,0.00876306033029997
N0111111_1607,0,42,0,NA,NA,NA
N0111112_1610,3,45,0.0681818181818182,NA,NA,NA
N0111114_1611,6,28,0.0983606557377049,NA,NA,NA
N0121205_1611,0,40,0,NA,NA,NA
N0131303_1612,2,38,0.0392156862745098,NA,NA,NA
N0131303_1701,0,6,0,32,2644,0.00128343961817671
N0131303_1703,0,53,0,NA,NA,NA
N0131303_1705,4,34,0.0727272727272727,NA,NA,NA
N0131310_1611,0,49,0,NA,NA,NA
N0131318_1611,11,2,0.126436781609195,1113,1220,0.0422278711537732
N0131318_1701,16,38,0.313725490196078,NA,NA,NA
N0131323_1610,4,11,0.0512820512820513,426,7214,0.0209202966164121
N0141403_1612,0,24,0,1,15043,7.97829902664752e-05
P0010104_1611,14,1,0.159090909090909,2007,566,0.0743030617155973
P0010112_1611,13,32,0.228070175438596,NA,NA,NA
P0010116_1607,0,34,0,NA,NA,NA
P0010121_1607,0,35,0,NA,NA,NA
P0010121_1611,0,53,0,33,23788,0.00870942201108472
P0010126_1611,0,50,0,0,22265,0
P0010127_1610,9,3,0.104651162790698,1522,2154,0.0598670495220863
P0010137_1610,0,31,0,5,17505,0.000496425734710087
P0020206_1607,0,50,0,NA,NA,NA
P0020206_1701,7,7,0.0853658536585366,888,4404,0.0383204591550511
P0020206_1702,11,2,0.126436781609195,1880,769,0.0701283199045061
P0020206_1703,25,2,0.28735632183908,3020,481,0.111455565397107
P0020206_1704,2,30,0.0338983050847458,110,19026,0.0128639925154953
P0020206_1705,1,2,0.0114942528735632,148,256,0.0054170784378317
P0020208_1607,0,38,0,NA,NA,NA
P0020213_1612,0,0,0,43,153,0.00156796966161027
P0020213_1701,0,1,0,31,654,0.00115143186123389
P0020213_1704,0,32,0,NA,NA,NA
P0020213_1705,0,2,0,49,873,0.00183493109646495
P0020214_1607,6,34,0.109090909090909,NA,NA,NA
P0020214_1612,0,43,0,NA,NA,NA
P0020214_1701,0,38,0,NA,NA,NA
P0020215_1607,0,55,0,NA,NA,NA
P0020215_1612,0,40,0,NA,NA,NA
P0020215_1701,0,7,0,9,4640,0.000392379125430527
P0030304_1607,7,4,0.0823529411764706,1364,2176,0.0536986732805795
P0050504_1611,0,0,0,27,92,0.000982354011278879
P0050514_1611,0,0,0,32,203,0.00116899247461094
P0050519_1701,0,40,0,NA,NA,NA
P0050519_1703,0,33,0,NA,NA,NA
P0050519_1704,13,30,0.220338983050847,NA,NA,NA
P0050519_1705,1,7,0.0121951219512195,68,3457,0.00281923714759536
P0060606_1607,12,34,0.218181818181818,NA,NA,NA
P0060609_1611,0,0,0,67,133,0.00244133508234951
P0060616_1611,1,0,0.0112359550561798,175,15,0.00634932152964226
P0060620_1611,18,1,0.204545454545455,2524,38,0.0916518392098478
P0060622_1611,0,0,0,35,141,0.00127569616562181
P0060623_1607,0,36,0,NA,NA,NA
P0060623_1612,19,1,0.215909090909091,2612,77,0.0949818181818182
P0060623_1701,4,39,0.08,NA,NA,NA
P0060623_1702,10,3,0.116279069767442,1499,530,0.0554220431101416
P0060623_1703,0,0,0,22,390,0.000809210284327068
P0060623_1704,3,7,0.0365853658536585,522,2006,0.0204137499511165
P0060623_1705,12,0,0.134831460674157,1225,235,0.0448028673835125
P0070701_1611,0,32,0,NA,NA,NA
P0070705_1611,6,12,0.0779220779220779,752,6705,0.0360291299348409
P0070707_1610,0,27,0,51,16536,0.00461914681641156
P0070710_1607,8,1,0.0909090909090909,1122,561,0.0415309446254072
P0070711_1611,0,48,0,NA,NA,NA
P0070722_1612,0,0,0,32,403,0.00117759623169206
P0070722_1701,0,6,0,4,3101,0.000163425396306586
P0070722_1702,0,0,0,35,327,0.00128440366972477
P0070724_1610,6,37,0.115384615384615,NA,NA,NA
P0080805_1612,0,0,0,44,31,0.00159732810571408
P0080805_1701,0,36,0,NA,NA,NA
P0080805_1702,0,32,0,NA,NA,NA
P0080805_1704,0,36,0,NA,NA,NA
P0080805_1705,0,2,0,68,1581,0.00261578704416064
P0080811_1701,0,34,0,NA,NA,NA
P0080811_1703,5,36,0.0943396226415094,NA,NA,NA
P0080811_1704,6,35,0.111111111111111,NA,NA,NA
P0080824_1607,0,34,0,NA,NA,NA
P0080835_1705,7,36,0.132075471698113,NA,NA,NA
P0080836_1612,0,0,0,32,173,0.0011677127426653
P0080836_1701,0,0,0,26,156,0.000948178403413442
P0080840_1611,0,39,0,0,18105,0
P0080842_1607,4,30,0.0677966101694915,NA,NA,NA
P0080842_1612,0,1,0,17,95,0.000618586711301943
P0080842_1701,4,31,0.0689655172413793,NA,NA,NA
P0080842_1703,4,18,0.0563380281690141,451,11355,0.0278017507089138
P0080842_1704,19,1,0.215909090909091,2574,398,0.0947054711358034
P0080842_1705,5,1,0.0568181818181818,815,1167,0.0308595229079894
P0080843_1611,0,0,0,52,115,0.00189352559900954
P0080854_1611,0,0,0,33,45,0.00119860525933459
P0080857_1702,2,21,0.0294117647058824,397,17266,0.0385025700707982
P0080858_1607,0,40,0,NA,NA,NA
P0080867_1607,0,45,0,NA,NA,NA
P0080880_1612,2,3,0.0232558139534884,313,1599,0.012048656555547
P0080880_1702,8,45,0.181818181818182,NA,NA,NA
P0090904_1610,0,50,0,NA,NA,NA
P0090907_1701,0,54,0,NA,NA,NA
P0111104_1611,0,0,0,44,17,0.00159651669085631
P0111105_1701,0,24,0,135,13582,0.00964630225080386
P0111106_1611,0,0,0,45,63,0.00163553100239878
P0121204_1612,0,32,0,NA,NA,NA
P0121204_1701,0,28,0,1,20175,0.000135098621994056
P0121204_1703,0,30,0,0,22643,0
P0121204_1704,0,27,0,2,15833,0.000170299727520436
P0121204_1705,0,8,0,3,8271,0.000155392106081011
